Date, BAHIA BLANCA - CERRI , CDRO. RIVADAVIA - R.TILLY , CIUDAD DE BS AS , CONCORDIA , CORRIENTES , FORMOSA , GRAN CATAMARCA , GRAN CORDOBA , GRAN LA PLATA , GRAN MENDOZA , GRAN PARANA , GRAN RESISTENCIA , GRAN ROSARIO , GRAN SAN JUAN , GRAN SANTA FE , GRAN TUCUMAN - T. VIEJO , JUJUY - PALPALA , LA RIOJA , MAR DEL PLATA - BATAN , NEUQUEN - PLOTTIER , PARTIDOS DEL GBA , POSADAS , RAWSON - TRELEW , RIO CUARTO , RIO GALLEGOS , S.DEL ESTERO - LA BANDA , SALTA , SAN LUIS - EL CHORRILLO , SAN NICOLAS - VILLA CONSTITUCION , SANTA ROSA - TOAY , USHUAIA - RIO GRANDE , VIEDMA - CARMEN DE PATAGONES 
1/9/2003,52.8,48.7,70.1,49.4,47.3,59.8,60.1,54,53.2,52.4,45.5,47.4,51,64.3,50.7,49.7,65.8,58.5,49.7,63.1,57.5,72.4,NA,56.6,56.1,60.8,68.9,69.5,NA,64.5,57.1,NA
1/12/2003,54.5,50.5,70.2,50.4,56.6,55.3,58,52.5,57.5,53,50.5,51,50.5,54.1,54.4,48,64.9,59.7,54.1,63,63.9,75.2,NA,49,58.5,62,61.5,64,NA,62.1,55.5,NA
1/3/2004,59,52.1,72.8,54.9,53,68.3,61.7,54.6,67.4,66.1,58.4,56.3,56.2,64.8,52.2,54.4,19.6,67,56.8,67.2,72.2,79.9,NA,52.5,60.1,66.9,62.7,71.8,NA,62.2,53.3,NA
1/6/2004,56.5,59.2,66.2,53.2,51.6,63.7,62.6,57,65.7,60.9,63.4,56.9,60.1,68.1,53.2,62.9,70.8,64.4,63.1,68.7,65.3,69.9,NA,61.4,64.2,60.8,76.6,72.1,NA,55.3,62,NA
1/9/2004,60.1,54.7,72.1,53.1,56.1,72.7,71.5,59.5,64.3,59.6,62.3,56.8,62.8,68.3,53.8,61.9,78.3,64.1,62.2,65.8,64.2,69.4,NA,60.8,64.8,66.4,73.7,76.5,NA,62.8,59.5,NA
1/12/2004,66.4,54.9,72.8,60.1,57,93.7,67,59.9,64,68.9,69,56.8,66.4,70.7,56.3,62.4,79.8,61.2,62.2,64.8,66.3,73.8,NA,56.3,71.4,68.4,76.4,78,NA,69,65.7,NA
1/3/2005,73.9,65.9,78.8,63.7,67.6,81,74.4,68.7,70,75.5,69,68.2,78.3,83.8,66.6,66.1,81.6,72.9,74.6,68.7,74.4,78.8,NA,60.9,76,77.4,77.4,81.1,NA,71.8,72.8,NA
1/6/2005,82.7,64.2,79,69.5,69.8,89.9,71.6,71.8,78.4,77.3,77.3,71.4,74.8,82.7,72.1,76.1,83.6,77.7,77,83.1,78.6,87.7,NA,67.5,75.5,72.1,81.8,85.3,NA,69.5,79.1,NA
1/9/2005,80.6,72.1,88.6,77,70.5,89.6,68.8,76.9,78,79.1,83.7,73.8,81.8,93.9,76,83.7,82.2,70.1,76.7,79.6,84.3,92.4,NA,81.1,80.8,75.6,77.6,87.2,NA,79.5,86.1,NA
1/12/2005,84.3,70.9,88.2,83.1,73,92.1,86.9,84.2,82.5,83.7,83.4,87.8,87.6,88.7,75.7,74,99.1,75.9,82,82.5,84.7,84.7,NA,86.3,85.1,88.3,88.8,97.7,NA,80.9,90.5,NA
1/3/2006,85,70.2,96.8,87.6,78.3,102.1,89.1,84.9,93.7,85.3,82.7,87.3,88.3,90.9,82.4,86.6,96.4,83.7,103.5,91.4,90.4,110.5,NA,83.9,94.9,91.7,95.1,103,NA,92.5,95.3,NA
1/6/2006,95.3,71.3,95.9,90.2,86.8,93,91.7,95.8,95.6,90.1,85.9,91,92.8,95.3,87.5,94.8,103,95.1,87.2,87.7,93.6,97.6,NA,87.4,99.9,83.9,95.2,90.5,NA,85.2,95.4,NA
1/9/2006,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1/12/2006,98.4,108.3,104.1,114.3,105.2,111.4,112.8,101.6,102.4,106.7,103.9,99.3,103.8,103.6,99.8,102.5,125.1,101.9,104.3,123.8,105.7,114.5,97.3,94.4,115.1,105.2,110.3,110.4,91.1,103.7,108.1,105.7
1/3/2007,105.2,110.4,110.2,110,105.6,105.6,120.1,111.2,109.1,108.4,101.5,102,112.6,125.2,103,107.9,139.2,99.4,110.5,120.7,110.2,135.9,104.8,98,125.4,101.5,107,124.1,97.7,106.1,111.8,124
1/6/2007,120.7,112.9,114.9,117.3,120.7,125.9,123.9,114.6,114.8,122.7,105.3,102.4,117.8,134.2,112.8,127.7,144.6,106.9,104.9,122.2,117.6,131.3,112.9,106.1,133.1,98.5,123.2,129.5,103.5,106.1,127,133.6
1/9/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2007,110.3,136.7,138.6,143.8,139.4,140.1,133.2,140,137.1,141.8,136.5,126.1,135.9,149.7,108.2,132,141.4,113.9,122.5,142.7,132,162.5,116.5,103.3,151.1,120.5,141.8,146.3,115.2,132.6,133.8,137.5
1/3/2008,130.8,140.7,140.1,145.9,137.2,138.4,160.2,153.5,146.4,149.4,137.6,153.2,144.5,173.1,120.6,138.6,148,119.1,134.1,159.1,142.7,171.6,126.5,129.9,163.3,126.5,150.8,149.6,134.5,140.5,140.1,156.2
