X1, BAHIA BLANCA - CERRI , CDRO. RIVADAVIA - R.TILLY , CIUDAD DE BS AS , CONCORDIA , CORRIENTES , FORMOSA , GRAN CATAMARCA , GRAN CORDOBA , GRAN LA PLATA , GRAN MENDOZA , GRAN PARANA , GRAN RESISTENCIA , GRAN ROSARIO , GRAN SAN JUAN , GRAN SANTA FE , GRAN TUCUMAN - T. VIEJO , JUJUY - PALPALA , LA RIOJA , MAR DEL PLATA - BATAN , NEUQUEN - PLOTTIER , PARTIDOS DEL GBA , POSADAS , RAWSON - TRELEW , RIO CUARTO , RIO GALLEGOS , S.DEL ESTERO - LA BANDA , SALTA , SAN LUIS - EL CHORRILLO , SAN NICOLAS - VILLA CONSTITUCION , SANTA ROSA - TOAY , USHUAIA - RIO GRANDE , VIEDMA - CARMEN DE PATAGONES 
1/9/2003,119.3,228.6,225.4,84.7,69.7,96.8,104.7,110.9,135.1,101.6,91.2,81.8,108.6,103,116.1,79.8,84.3,109.6,97.9,176.8,119.1,108.3,NA,113.8,219.4,90.4,96.8,121.9,NA,154,275.2,NA
1/12/2003,123.2,236.9,225.9,86.5,83.5,89.4,101,107.9,146,102.8,101.2,87.9,107.4,86.7,124.6,77,83.2,111.9,106.7,176.4,132.3,112.4,NA,98.4,228.5,92.1,86.4,112.2,NA,148.3,267.8,NA
1/3/2004,133.4,244.2,234,94.3,78.1,110.6,107.5,112,171.2,128.2,116.8,97.1,119.6,103.7,119.5,87.2,25.1,125.7,111.9,188.3,149.4,119.4,NA,105.5,234.9,99.4,88.1,126,NA,148.5,257,NA
1/6/2004,127.8,277.8,212.8,91.3,76.1,103.1,109,117,166.9,118,126.9,98.2,127.9,109,121.7,100.8,90.7,120.8,124.4,192.5,135.2,104.6,NA,123.3,251,90.4,107.6,126.5,NA,132,298.8,NA
1/9/2004,135.8,256.8,231.8,91,82.7,117.6,124.4,122.2,163.3,115.5,124.8,98,133.7,109.4,123.1,99.3,100.4,120.3,122.6,184.4,132.8,103.7,NA,122.1,253.1,98.7,103.6,134.2,NA,149.9,286.8,NA
1/12/2004,150.1,257.4,234.2,103.1,84,151.6,116.6,122.9,162.4,133.7,138.1,98.1,141.3,113.2,128.8,100,102.3,114.8,122.6,181.5,137.2,110.3,NA,113.2,279,101.7,107.3,136.8,NA,164.7,316.7,NA
1/3/2005,167.1,308.9,253.6,109.3,99.7,131,129.5,141,177.8,146.3,138.1,117.6,166.7,134.2,152.5,106,104.6,136.7,147,192.5,154,117.9,NA,122.3,296.9,115,108.8,142.2,NA,171.4,351.1,NA
1/6/2005,186.9,300.9,254.1,119.2,103,145.4,124.8,147.3,199.1,149.8,154.7,123.3,159.2,132.5,165.1,122,107.2,145.8,151.8,232.7,162.8,131.1,NA,135.6,294.9,107.2,114.9,149.6,NA,165.9,381.2,NA
1/9/2005,182.2,338.2,285,132.1,104,144.9,119.8,157.9,198.1,153.5,167.7,127.4,174.1,150.4,173.9,134.2,105.3,131.4,151.1,222.9,174.4,138.3,NA,163,315.7,112.3,109.1,152.9,NA,189.9,415.3,NA
1/12/2005,190.6,332.6,283.7,142.5,107.7,149,151.3,172.8,209.6,162.2,167.1,151.5,186.3,142,173.3,118.7,127.1,142.4,161.7,231.2,175.3,126.7,NA,173.4,332.8,131.3,124.8,171.3,NA,193.1,436.6,NA
1/3/2006,192,329.2,311.3,150.3,115.4,165.2,155.2,174.4,237.9,165.3,165.7,150.7,188,145.6,188.6,138.9,123.6,156.9,204,256.1,187.2,165.2,NA,168.6,371,136.3,133.7,180.7,NA,220.9,459.8,NA
1/6/2006,215.4,334.2,308.6,154.7,128,150.4,159.7,196.7,242.6,174.7,172,157.1,197.5,152.7,200.3,152.1,132,178.4,172,245.8,193.7,145.9,NA,175.6,390.3,124.6,133.7,158.8,NA,203.3,460.2,NA
1/9/2006,226,469,321.7,171.6,147.5,161.8,174.1,205.3,253.9,193.9,200.2,172.6,212.8,160.1,228.9,160.4,128.2,187.5,197.1,280.1,207,149.5,298.3,201,390.8,148.6,140.5,175.4,266.7,238.8,482.3,209
1/12/2006,222.4,508.1,335,196.1,155.2,180.3,196.4,208.6,260.1,206.8,208.1,171.3,220.8,165.9,228.5,164.4,160.3,191.1,205.7,346.8,218.9,171.2,290.3,189.7,449.7,156.3,155.1,193.6,242.9,247.5,521.4,220.8
1/3/2007,237.7,518,354.5,188.7,155.7,170.8,209.2,228.3,277,210.2,203.3,176,239.6,200.5,235.8,173.1,178.4,186.5,217.9,338.2,228.1,203.2,312.7,196.9,490.1,150.8,150.3,217.7,260.5,253.4,539.3,259.1
1/6/2007,272.7,529.6,369.7,201.2,178.1,203.6,215.8,235.2,291.6,237.9,210.9,176.7,250.8,214.9,258.2,204.8,185.3,200.5,206.9,342.4,243.6,196.3,336.9,213.1,520.4,146.5,173.1,227.2,276.1,253.3,612.5,279.2
1/9/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2007,249.2,641.4,446,246.8,205.7,226.7,232,287.3,348.2,274.9,273.4,217.6,289.2,239.7,247.6,211.8,181.3,213.6,241.6,399.8,273.3,243.1,347.6,207.5,590.7,179.2,199.2,256.6,307.1,316.6,645.5,287.3
1/3/2008,295.6,660.1,450.6,250.4,202.4,223.8,278.9,315.1,371.8,289.6,275.5,264.4,307.4,277.3,276,222.3,189.7,223.3,264.4,445.7,295.4,256.7,377.3,261,638.2,188,211.9,262.4,358.8,335.4,675.6,326.5
1/6/2008,362.4,670.1,494.3,280.9,245.5,271.6,306.2,320,396.7,301.2,295.1,275.5,350.7,311.1,313.8,262,218.9,252.8,267.8,496.1,329.9,267.3,438.2,270.5,731.7,209.1,219.4,267.3,382,365.7,723.1,319.5
1/9/2008,365.8,758.5,498.8,286.5,249.9,273.2,301.7,327.3,404.1,324.8,340.5,251.8,360.6,285.5,304.6,254,253,264.8,326.3,439.7,347.9,284.6,448.3,311.1,733.6,221.7,223.5,284.8,393.6,391.6,837.2,329.4
1/12/2008,309.8,761.7,440.8,263.7,231.9,286.8,303.5,334.6,388.8,338.4,344.3,287.5,348.8,275.3,323.2,250,232.5,243.1,289.6,453.5,332.6,271,445.1,294.9,674.1,206.8,234.1,290.2,406.7,384.2,779.1,339
1/3/2009,301.7,756.1,470.7,264.5,245.3,277.8,295.6,329.8,371.1,296.9,355.3,311.9,342.2,259.8,325.4,248.5,194.3,250.3,281.4,478,323.2,265.6,437.8,317.1,711.6,203.8,225.1,283.6,399.8,372.5,762.4,342.3
