, BAHIA BLANCA - CERRI , CDRO. RIVADAVIA - R.TILLY , CIUDAD DE BS AS , CONCORDIA , CORRIENTES , FORMOSA , GRAN CATAMARCA , GRAN CORDOBA , GRAN LA PLATA , GRAN MENDOZA , GRAN PARANA , GRAN RESISTENCIA , GRAN ROSARIO , GRAN SAN JUAN , GRAN SANTA FE , GRAN TUCUMAN - T. VIEJO , JUJUY - PALPALA , LA RIOJA , MAR DEL PLATA - BATAN , NEUQUEN - PLOTTIER , PARTIDOS DEL GBA , POSADAS , RAWSON - TRELEW , RIO CUARTO , RIO GALLEGOS , S.DEL ESTERO - LA BANDA , SALTA , SAN LUIS - EL CHORRILLO , SAN NICOLAS - VILLA CONSTITUCION , SANTA ROSA - TOAY , USHUAIA - RIO GRANDE , VIEDMA - CARMEN DE PATAGONES 
01/09/2003,348.5,667.6,658.3,247.4,203.7,282.7,305.8,323.8,394.7,296.9,266.3,239,317.1,300.9,339,233,246.2,320.3,285.9,516.5,347.9,316.3,NA,332.3,641,264.1,282.7,356.1,NA,449.9,803.9,NA
01/12/2003,364.6,701.4,668.7,256.1,247.1,264.6,299,319.4,432.3,304.4,299.6,260.4,317.9,256.7,368.8,227.9,246.2,331.2,315.8,522.2,391.6,332.8,NA,291.4,676.5,272.8,255.8,332.3,NA,438.9,792.8,NA
01/03/2004,386.7,707.5,678.1,273.1,226.4,320.4,311.5,324.6,496.1,371.4,338.5,281.3,346.6,300.6,346.4,252.6,72.7,364.1,324.3,545.5,433,346.1,NA,305.6,680.5,287.9,255.2,365.1,NA,430.2,744.7,NA
01/06/2004,378.3,822.3,630.1,270.3,225.2,305.1,322.7,346.3,494,349.3,375.7,290.6,378.7,322.8,360.2,298.5,268.5,357.5,368.3,569.9,400.2,309.6,NA,365,743.1,267.7,318.6,374.4,NA,390.9,884.5,NA
01/09/2004,407,769.3,694.5,272.8,247.7,352.5,372.8,366,489.3,346,373.8,293.7,400.6,327.6,368.7,297.5,300.8,360.3,367.4,552.6,398,310.8,NA,365.8,758.4,295.7,310.5,402,NA,449,859.4,NA
01/12/2004,445.8,764.6,695.8,306.3,249.6,450.4,346.5,365.2,482.5,397.1,410.2,291.3,419.7,336.4,382.6,297.2,303.8,341,364.3,539.3,407.6,327.8,NA,336.3,828.9,302,318.9,406.5,NA,489.4,941,NA
01/03/2005,488.9,904,742.1,320,291.6,383.5,379.1,412.8,520.2,428.3,404.3,344.3,487.8,392.9,446.3,310.3,306.2,400.2,430.2,563.3,450.6,344.9,NA,358,868.9,336.6,318.4,416.1,NA,501.5,"1,027.40",NA
01/06/2005,538.9,867.7,732.8,343.6,297.1,419.4,359.7,424.8,574.3,431.9,446.1,355.5,458.9,382.1,476,351.9,309.1,420.4,437.8,671,469.4,378.1,NA,391.1,850.4,309.1,331.4,431.3,NA,478.4,"1,099.30",NA
01/09/2005,530.6,984.7,829.8,384.7,302.8,421.8,349,459.7,576.7,446.8,488.2,370.8,506.9,437.9,506.2,390.7,306.7,382.6,440,649.1,507.9,402.6,NA,474.6,919.3,326.9,317.5,445.1,NA,553,"1,209.30",NA
01/12/2005,574.6,"1,002.60",855.3,429.6,324.6,449.2,456.2,520.9,631.8,489,503.6,456.7,561.7,428.2,522.4,357.9,383,429.2,487.4,697,528.5,382,NA,522.8,"1,003.20",395.8,376.2,516.5,NA,582,"1,316.20",NA
01/03/2006,590.6,"1,012.60",957.5,462.5,355.1,508.3,477.5,536.4,731.8,508.6,509.6,463.5,578.3,447.8,580.2,427.4,380.2,482.7,627.6,787.8,576,508.2,NA,518.7,"1,141.40",419.2,411.2,555.9,NA,679.6,"1,414.30",NA
01/06/2006,663.7,"1,029.90",950.7,476.7,394.5,463.5,492.2,606.1,747.7,538.2,530,484.1,608.6,470.4,617,468.7,406.7,549.6,529.9,757.3,596.8,449.5,NA,541.1,"1,202.50",384,412.1,489.2,NA,626.5,"1,418.00",NA
01/09/2006,700.6,"1,454.00",997.3,531.9,457.3,501.5,539.9,636.5,787.2,601.1,620.7,535,659.7,496.5,709.6,497.3,397.4,581.4,611.1,868.4,641.8,463.6,924.9,623,"1,211.60",460.7,435.6,543.8,826.7,740.2,"1,495.00",647.8
01/12/2006,680.6,"1,554.90","1,025.10",600.2,475,551.7,601.1,638.4,796.1,633,636.9,524.4,675.8,507.8,699.2,503,490.6,584.7,629.5,"1,061.30",669.8,524,888.3,580.4,"1,376.30",478.3,474.5,592.4,743.5,757.4,"1,595.70",675.8
01/03/2007,737,"1,606.40","1,099.40",585.2,482.9,529.7,648.8,707.9,859.1,651.9,630.3,545.8,743.1,621.7,731.1,536.8,553.1,578.2,675.8,"1,048.70",707.3,630.2,969.6,610.5,"1,519.90",467.6,466.2,675.1,807.8,785.8,"1,672.40",803.3
01/06/2007,839.7,"1,630.70","1,138.30",619.6,548.3,627,664.6,724.3,897.9,732.7,649.3,544,772.2,661.7,795.1,630.7,570.6,617.5,637,"1,054.30",750,604.6,"1,037.40",656.3,"1,602.30",451,533.1,699.6,850.1,779.9,"1,886.10",859.6
01/09/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/12/2007,782.4,"2,013.70","1,400.20",774.8,645.8,711.7,728.4,902.1,"1,093.30",863.2,858.3,683.2,908.1,752.6,777.3,664.9,569.1,670.5,758.4,"1,255.30",857.9,763.2,"1,091.40",651.5,"1,854.70",562.5,625.5,805.8,964.2,994,"2,026.60",902
